Idno,Year,Month,FIPS,Locality,HouseholdsServed,IndividualsServed,PoundsFoodDistributed,childserevedNFNP,PoundsfoodNFNP,Latitude,Longitude,MTWStatus,Geopoint
1453,2020,October,730.0,Petersburg City,1014.0,2512.0,14886.0,0.0,0.0,37.2047302,-77.3923681,Matching and updated,POINT (-77.3923681 37.2047302)
1454,2021,August,5.0,Alleghany County,112.0,273.0,27511.7,0.0,0.0,37.7879048,-80.008669,Matching and updated,POINT (-80.008669 37.7879048)
1455,2019,December,143.0,Pittsylvania County,908.0,2971.0,0.0,78.0,1858.0,36.8217206,-79.3985019,Matching and updated,POINT (-79.3985019 36.8217206)
1456,2019,October,97.0,King and Queen County,0.0,1591.0,0.0,0.0,0.0,37.7143698,-76.901863,Matching and updated,POINT (-76.901863 37.7143698)
1457,2019,July,47.0,Culpeper County,733.0,1946.0,36245.32,0.0,0.0,38.4859303,-77.9564758,Matching and updated,POINT (-77.9564758 38.4859303)
1458,2019,August,163.0,Rockbridge County,1456.0,1798.0,8309.36,0.0,0.0,37.8145174,-79.4477537,Matching and updated,POINT (-79.4477537 37.8145174)
1459,2020,June,133.0,Northumberland County,250.0,572.0,95772.0,0.0,0.0,37.8569736,-76.3796872,Matching and updated,POINT (-76.3796872 37.8569736)
1460,2020,August,790.0,STAUNTON CITY,457.0,3049.0,22567.02,0.0,65.0,38.1580558,-79.0615011,Matching and updated,POINT (-79.0615011 38.1580558)
1461,2019,September,197.0,Wythe County,1140.0,3129.0,20881.13,0.0,0.0,36.9014709,-81.084209,Matching and updated,POINT (-81.084209 36.9014709)
1462,2020,November,540.0,Charlottesville City,1465.0,10136.0,38474.31,0.0,0.0,38.0376579,-78.4853806,Matching and updated,POINT (-78.4853806 38.0376579)
1463,2021,April,7.0,Amelia County,189.0,496.0,8929.0,0.0,0.0,37.3319271,-77.9774619,Matching and updated,POINT (-77.9774619 37.3319271)
1464,2020,April,87.0,Henrico County,1871.0,6270.0,46683.0,0.0,0.0,37.4375205,-77.300333,Matching and updated,POINT (-77.300333 37.4375205)
1465,2020,January,670.0,Hopewell City,113.0,224.0,20698.0,0.0,0.0,37.2910098,-77.2989443,Matching and updated,POINT (-77.2989443 37.2910098)
1466,2020,April,175.0,Southampton County,1.0,1.0,15943.0,0.0,0.0,36.7201725,-77.1038556,Matching and updated,POINT (-77.1038556 36.7201725)
1467,2020,July,85.0,Hanover County,745.0,2088.0,740.0,0.0,0.0,37.7601655,-77.4909916,Matching and updated,POINT (-77.4909916 37.7601655)
1468,2021,February,163.0,Rockbridge County,126.0,4652.0,5347.75,0.0,0.0,37.8145174,-79.4477537,Matching and updated,POINT (-79.4477537 37.8145174)
1469,2019,October,246.0,Washington DC,1.0,4.0,74688.0,0.0,0.0,38.5342,-77.021,Non-matching,POINT (-77.021 38.5342)
1470,2020,March,740.0,Portsmouth City,2241.0,7028.0,71051.0,560.0,4151.0,36.8594298,-76.3562686,Matching and updated,POINT (-76.3562686 36.8594298)
1471,2020,April,760.0,Richmond City,7147.0,15009.0,21524.0,0.0,0.0,37.531399,-77.4760085,Matching and updated,POINT (-77.4760085 37.531399)
1472,2020,January,700.0,Newport News City,1664.0,3862.0,355659.0,450.0,7371.0,37.0759784,-76.5217187,Matching and updated,POINT (-76.5217187 37.0759784)
1473,2020,August,77.0,Grayson County,787.0,2182.0,41169.22,0.0,0.0,36.6563026,-81.2253365,Matching and updated,POINT (-81.2253365 36.6563026)
1474,2021,January,57.0,Essex County,306.0,682.0,19992.0,0.0,0.0,37.9394802,-76.9418713,Matching and updated,POINT (-76.9418713 37.9394802)
1475,2019,July,540.0,Charlottesville City,656.0,7529.0,45411.13,0.0,895.0,38.0376579,-78.4853806,Matching and updated,POINT (-78.4853806 38.0376579)
1476,2020,October,147.0,Prince Edward County,1830.0,3136.0,53237.0,0.0,0.0,37.2248813,-78.4329574,Matching and updated,POINT (-78.4329574 37.2248813)
1477,2019,August,75.0,Goochland County,85.0,798.0,35047.0,0.0,0.0,37.7241655,-77.9142733,Matching and updated,POINT (-77.9142733 37.7241655)
1478,2019,November,193.0,Westmoreland County,420.0,1070.0,9418.0,0.0,0.0,38.109238,-76.8040731,Matching and updated,POINT (-76.8040731 38.109238)
